Team,Goals,Shots pg,Discipline,Possession,Pass,AerialsWon,Rating,Year
Everton,58,12.9,445,51.5,81.4,12.9,6.88,2015-2016
Chelsea,58,13.8,585,54.4,82.5,14.1,6.87,2015-2016
Manchester United,47,11.3,651,55.8,82.3,13.1,6.83,2015-2016
Watford,40,11.7,733,46.3,72.6,17.4,6.8,2015-2016
Sunderland,48,11.6,642,43.3,71,17.3,6.76,2015-2016
Crystal Palace,40,12.3,602,46.8,74.4,17.8,6.76,2015-2016
Swansea,43,11.6,601,52,80.9,13.7,6.75,2015-2016
Stoke,41,11,514,50,79.1,16.4,6.74,2015-2016
Newcastle United,44,10.4,605,47.4,76.6,13.9,6.73,2015-2016
West Bromwich Albion,32,10.2,653,42.3,70,19.1,6.72,2015-2016
Bournemouth,45,12.2,531,51,79.8,15.3,6.71,2015-2016
Aston Villa,27,10,753,47.3,77.8,19.1,6.69,2015-2016
Norwich,39,11,613,46.5,73.6,17.4,6.61,2015-2016
Chelsea,85,15.3,720,54,83.9,14.2,7.05,2016-2017
Tottenham,86,17.6,620,57.4,82.5,15,7.04,2016-2017
Manchester City,80,16.7,714,60.9,85.5,15.4,7.01,2016-2017
Arsenal,77,14.9,683,56.5,83.8,16.7,6.99,2016-2017
Manchester United,54,15.6,782,55,84.2,16.4,6.99,2016-2017
Liverpool,78,16.8,540,58.3,82.4,17.3,6.98,2016-2017
Everton,62,13.2,722,51.5,79,17.5,6.91,2016-2017
Southampton,41,14.5,592,53.1,80.5,17.1,6.76,2016-2017
West Ham,47,13.1,785,48.4,78.2,19.1,6.76,2016-2017
Stoke,41,11.2,702,47.2,75.3,21.3,6.76,2016-2017
Crystal Palace,50,11.6,770,46.7,73.4,22,6.76,2016-2017
Middlesbrough,27,9.2,771,47.9,77.3,20.3,6.74,2016-2017
Bournemouth,55,11.9,523,51.3,81.3,14.4,6.74,2016-2017
Burnley,39,10.3,652,42.7,67.8,24,6.72,2016-2017
Leicester,48,11.4,721,43.7,70.1,20.2,6.71,2016-2017
West Bromwich Albion,43,10.5,800,40.7,70.4,17.7,6.69,2016-2017
Swansea,45,10.7,560,48.3,78.9,17.8,6.68,2016-2017
Watford,40,11.1,845,47,74,19.1,6.65,2016-2017
Sunderland,29,10.2,784,42.8,72.6,16.2,6.62,2016-2017
Hull,37,10.4,675,46.7,77.4,15.5,6.6,2016-2017
